,medallion,hack_license,vendor_id,rate_code,store_and_fwd_flag,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,pickup_hour,pickup_day
594,F40DBEC4AFCC4B8A151C04EA153B0E08,21B9D853F334120578CED575CCA5CA8A,VTS,1,,2013-01-13 04:26:00,2013-01-13 04:52:00,1,1560,12.66,-73.95945,40.716217,-73.94144399999999,40.608841,4,Sunday
595,E885DF6A2B39A7CBFDDDDEE03E741934,59553BB63D590BB067FF611B3E52E95D,VTS,1,,2013-01-13 04:52:00,2013-01-13 04:54:00,5,120,0.58,-73.996849,40.723026000000004,-74.001755,40.728024,4,Sunday
596,DDF66F69E5A985A19C1C60BF291F3B5E,A3872659326766DB4D0530B67955FD6B,VTS,1,,2013-01-13 04:26:00,2013-01-13 04:51:00,1,1500,15.88,-73.995789,40.759808,-73.739532,40.757401,4,Sunday
597,71D15EB5795CF8EAE9DB07EB04AECBED,CA8A2B6985A95D81618FDD1CDA971CB8,VTS,1,,2013-01-13 04:42:00,2013-01-13 04:53:00,6,660,6.82,-73.982323,40.766514,-73.95099599999999,40.825783,4,Sunday
598,A3A035C01CAC54937BF10FAFB7E2F1AC,72D4C355B58A26D916F1C68B519F7147,VTS,1,,2013-01-13 04:53:00,2013-01-13 04:55:00,1,120,0.59,-73.97605899999999,40.754833000000005,-73.981934,40.751438,4,Sunday
599,B73668FE07B7EB48C94796D90985D4AB,DDA55C31D07DDA942982138A706A026B,VTS,1,,2013-01-13 04:45:00,2013-01-13 04:55:00,1,600,3.32,-74.002045,40.733692,-73.98086500000001,40.767757,4,Sunday
600,4D85BA8EC586E2B4A3D63B45F911C1A4,26574B9E9F9F9A862AC3F6307068FD22,VTS,1,,2013-01-13 04:51:00,2013-01-13 04:55:00,1,240,0.6,-73.99140899999999,40.723042,-73.99140899999999,40.723042,4,Sunday
601,7C11D5DFAE5B898C8C5256F5703C26D4,D96DF2791E35063F89772E17057978ED,VTS,1,,2013-01-13 04:42:00,2013-01-13 04:55:00,5,780,2.57,-73.986343,40.733948,-74.008347,40.702625,4,Sunday
602,2452625B6740985577C65E0511A780A7,980A15AE7BF88E611E4639E05B5A0AD7,VTS,1,,2013-01-13 04:44:00,2013-01-13 04:56:00,1,720,3.94,-73.999664,40.714417,-73.97171,40.760360999999996,4,Sunday
603,463B2726E7C59B98160733B6C668CE28,83A1D2EF85BAA2EE6F7A2DC29E4D6C88,VTS,1,,2013-01-13 04:45:00,2013-01-13 04:55:00,3,600,7.91,-73.973671,40.754944,-73.854019,40.73658,4,Sunday
